timestamp,repo,tag,asset,download_count
"2026-07-20T06:10Z","joyeli/Yakuyomi","v0.6.1","app-universal-release.apk",0
"2026-07-20T06:10Z","joyeli/Yakuyomi","v0.6.0","app-arm64-v8a-release.apk",1
"2026-07-20T06:10Z","joyeli/Yakuyomi","v0.6.0","app-universal-release.apk",0
"2026-07-20T06:10Z","joyeli/Yakuyomi","v0.5.0","app-arm64-v8a-release.apk",1
"2026-07-20T06:10Z","joyeli/Yakuyomi","v0.5.0","app-universal-release.apk",0
"2026-07-20T06:10Z","joyeli/Yakuyomi","v0.4.0","app-arm64-v8a-release.apk",1
"2026-07-20T06:10Z","joyeli/Yakuyomi","v0.4.0","app-universal-release.apk",0
"2026-07-20T06:10Z","joyeli/Yakuyomi","v0.3.0","app-arm64-v8a-release.apk",10
"2026-07-20T06:10Z","joyeli/Yakuyomi","v0.3.0","app-universal-release.apk",0
"2026-07-20T06:10Z","joyeli/Yakuyomi","v0.2.1","app-arm64-v8a-release.apk",6
"2026-07-20T06:10Z","joyeli/Yakuyomi","v0.2.1","app-universal-release.apk",2
"2026-07-20T06:10Z","joyeli/Yakuyomi","v0.2.0","app-arm64-v8a-release.apk",1
"2026-07-20T06:10Z","joyeli/Yakuyomi","v0.2.0","app-universal-release.apk",1
"2026-07-20T06:10Z","joyeli/Yakuyomi","v0.1.0","yakuyomi-v0.1.0-arm64-v8a.apk",12
"2026-07-20T06:10Z","joyeli/Yakuyomi","v0.1.0","yakuyomi-v0.1.0-universal.apk",4
"2026-07-20T06:10Z","joyeli/yakuyomi-engine","models-v3","dbnet_detect.ncnn.bin",12
"2026-07-20T06:10Z","joyeli/yakuyomi-engine","models-v3","dbnet_detect.ncnn.param",9
"2026-07-20T06:10Z","joyeli/yakuyomi-engine","models-v2","detector_noblk.ncnn.bin",6
"2026-07-20T06:10Z","joyeli/yakuyomi-engine","models-v2","detector_noblk.ncnn.param",6
"2026-07-20T06:10Z","joyeli/yakuyomi-engine","models-v2","mit_aot_fixed512.ncnn.bin",10
"2026-07-20T06:10Z","joyeli/yakuyomi-engine","models-v2","mit_aot_fixed512.ncnn.param",10
"2026-07-20T06:10Z","joyeli/yakuyomi-engine","models-v2","ocr_int8.onnx",10
"2026-07-20T06:10Z","joyeli/yakuyomi-engine","models-v1","comictextdetector.pt.onnx",26
"2026-07-20T06:10Z","joyeli/yakuyomi-engine","models-v1","lama-manga.onnx",21
"2026-07-20T06:10Z","joyeli/yakuyomi-engine","models-v1","ocr_48px_ctc.onnx",21
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.19.0","app-arm64-v8a-release.apk",8
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.19.0","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.18.2","app-arm64-v8a-release.apk",17
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.18.2","app-universal-release.apk",7
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.18.1","app-arm64-v8a-release.apk",6
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.18.1","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.18.0","app-arm64-v8a-release.apk",8
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.18.0","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.17.0","app-arm64-v8a-release.apk",9
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.17.0","app-universal-release.apk",2
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.9","app-arm64-v8a-release.apk",3
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.9","app-universal-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.8","app-arm64-v8a-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.8","app-universal-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.7","app-arm64-v8a-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.7","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.6","app-arm64-v8a-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.6","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.5","app-arm64-v8a-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.5","app-universal-release.apk",0
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.4","app-arm64-v8a-release.apk",1
"2026-07-27T06:22Z","joyeli/Yakuyomi","v0.16.4","app-universal-release.apk",1
